Bin	Frequency
-1160	2
-1640	1
-1760	1
-1950	1
-1980	1
-2040	6
-2420	7
-2820	2
-3080	1
-3160	1
-3180	1
-3190	2
-3200	1
-3210	2
-3220	4
-3230	10
-3250	4
-3260	2
-3270	10
-3280	2
-3420	1
-3940	1
-3970	2
-3980	2
-3990	9
-4020	3
-4030	7
-4070	1
-4790	1
-5130	1
-5570	1
-6680	1
-670	4
-6710	2
-690	4
-720	3
-7240	1
-760	3
-770	3
-7810	1
-8510	1
-8880	2
-9040	1
-9310	1
-9620	1
-9720	2
-9770	2
10	5
100	221276
1000	7089
1010	7260
1020	7326
1030	7631
1040	7485
1050	7441
1060	7523
1070	7794
1080	7468
1090	7657
110	459767
1100	7363
1110	7614
1120	7610
1130	7761
1140	7848
1150	7965
1160	7889
1170	7988
1180	7718
1190	7746
120	886835
1200	7470
1210	7355
1220	7532
1230	7572
1240	7613
1250	7556
1260	7345
1270	7441
1280	7379
1290	7183
130	1612408
1300	7241
1310	7049
1320	6948
1330	6770
1340	6756
1350	6811
1360	6559
1370	6634
1380	6552
1390	6676
140	2689716
1400	6551
1410	6821
1420	6384
1430	6685
1440	6394
1450	6460
1460	6575
1470	6529
1480	6452
1490	6539
150	4174521
1500	588
160	5990694
170	7978639
180	9866246
190	11389858
20	881
200	12399431
210	12777313
220	12657802
230	12058697
240	11132811
250	9979685
260	8694553
270	7364351
280	6087629
290	4906476
30	6338
300	3846725
310	2948684
320	2201649
330	1614667
340	1157629
350	819812
360	573665
370	397380
380	276225
390	190916
40	12280
400	133549
410	96162
420	69212
430	51895
440	39791
450	31261
460	25350
470	20790
480	18439
490	16192
50	17758
500	14491
510	13128
520	12121
530	11560
540	10784
550	10754
560	10724
570	10173
580	9917
590	9826
60	23755
600	9836
610	9689
620	9639
630	9086
640	8931
650	8554
660	8461
670	8462
680	8462
690	8135
70	33616
700	7893
710	8097
720	8244
730	8159
740	8204
750	7981
760	8134
770	8041
780	7846
790	8008
80	55664
800	8095
810	8008
820	7616
830	7368
840	7410
850	7554
860	7566
870	7542
880	7269
890	6935
90	105746
900	7641
910	7470
920	7132
930	7292
940	7388
950	7365
960	7072
970	7017
980	7098
990	7348
