Bin	Frequency
-1270	1
-1790	1
-1810	1
-1940	1
-1970	1
-1980	5
-2010	2
-2040	4
-2050	2
-2120	1
-2170	4
-2280	1
-2320	2
-2330	1
-3070	14
-3200	5
-3210	2
-3640	1
-3920	10
-3940	1
-3950	5
-3970	5
-3980	3
-3990	5
-4010	1
-4060	2
-4520	1
-50	1
-560	1
-6350	5
-7020	2
-7430	1
-9360	1
-9900	2
0	1
10	9
100	238977
1000	6702
1010	6817
1020	6933
1030	6932
1040	6894
1050	7153
1060	7338
1070	7396
1080	7294
1090	7371
110	500791
1100	6977
1110	7158
1120	7370
1130	7412
1140	9142
1150	9195
1160	8938
1170	8636
1180	8650
1190	8268
120	976108
1200	8398
1210	8392
1220	8499
1230	8243
1240	8059
1250	8155
1260	8162
1270	8095
1280	7856
1290	7488
130	1753277
1300	7351
1310	7216
1320	6879
1330	6840
1340	6791
1350	6560
1360	6243
1370	6467
1380	6253
1390	6130
140	2911545
1400	6501
1410	5961
1420	6178
1430	5892
1440	6147
1450	6098
1460	5816
1470	5929
1480	5937
1490	6022
150	4467555
1500	615
160	6337130
170	8316607
180	10108700
190	11499742
20	745
200	12306470
210	12519050
220	12190015
230	11434499
240	10397352
250	9155352
260	7846029
270	6530548
280	5284545
290	4169572
30	5476
300	3199031
310	2398448
320	1756062
330	1260917
340	887286
350	613862
360	423725
370	290206
380	198207
390	137268
40	10438
400	95029
410	68334
420	50052
430	37997
440	29732
450	24151
460	19845
470	16939
480	14955
490	13022
50	15029
500	12369
510	11329
520	10866
530	10569
540	9861
550	9787
560	9547
570	9759
580	9393
590	9581
60	20809
600	9486
610	9219
620	8677
630	8552
640	8053
650	8150
660	7986
670	7784
680	7733
690	7366
70	30782
700	7800
710	7858
720	7734
730	7586
740	7625
750	7688
760	7667
770	7739
780	7351
790	7289
80	53561
800	7348
810	7194
820	7300
830	7519
840	7091
850	7172
860	7338
870	6963
880	6931
890	7169
90	109112
900	6894
910	7118
920	6843
930	7056
940	6842
950	6526
960	6796
970	6608
980	6687
990	6818
