Bin	Frequency
-1820	1
-3160	5
-3170	1
-3180	10
-3200	4
-3220	6
-3230	5
-3240	1
-3250	4
-3260	6
-3380	2
-3940	12
-4700	1
-7360	1
-7570	4
-770	3
-8080	2
-830	1
-8310	1
-9000	1
10	8
100	223186
1000	5448
1010	6503
1020	6013
1030	5945
1040	6356
1050	6949
1060	6596
1070	6553
1080	6745
1090	6610
110	460996
1100	6696
1110	6645
1120	6772
1130	6247
1140	7519
1150	7445
1160	7231
1170	6932
1180	6623
1190	7034
120	892166
1200	7094
1210	6637
1220	6470
1230	6453
1240	6662
1250	7004
1260	7028
1270	6631
1280	6181
1290	6386
130	1599797
1300	6155
1310	6315
1320	5954
1330	5538
1340	5671
1350	5752
1360	5470
1370	5393
1380	5376
1390	5800
140	2632931
1400	5486
1410	5664
1420	5532
1430	5582
1440	5631
1450	5798
1460	4942
1470	5049
1480	6103
1490	5781
150	3999136
1500	562
160	5628771
170	7333742
180	8845321
190	9986129
20	734
200	10636487
210	10782418
220	10473255
230	9836006
240	8916158
250	7834261
260	6678941
270	5549949
280	4468175
290	3508902
30	5599
300	2660511
310	1990958
320	1443192
330	1035371
340	728377
350	506641
360	352690
370	242255
380	168006
390	116271
40	11162
400	82322
410	60807
420	45076
430	35574
440	27631
450	22707
460	18605
470	16169
480	14532
490	13209
50	15633
500	11636
510	11105
520	10213
530	9831
540	9018
550	8676
560	9333
570	8691
580	8229
590	8241
60	20290
600	8368
610	8519
620	7911
630	7439
640	7195
650	7048
660	7621
670	7756
680	6751
690	7187
70	28715
700	7013
710	7210
720	6675
730	6529
740	6815
750	6554
760	6401
770	6621
780	6861
790	6867
80	51076
800	6462
810	6630
820	6810
830	6209
840	6657
850	6345
860	6682
870	6205
880	5936
890	6482
90	102772
900	6265
910	6267
920	6659
930	5935
940	5820
950	6564
960	6354
970	5836
980	5907
990	6297
